Rank	Name	HRef	Year Published	Geek Rating	Average Rating	Number of Voters
1	Pandemic Legacy: Season 1	/boardgame/161936/pandemic-legacy-season-1	2015	8.492	8.67	20389
2	Through the Ages: A New Story of Civilization	/boardgame/182028/through-ages-new-story-civilization	2015	8.322	8.70	8903
3	Twilight Struggle	/boardgame/12333/twilight-struggle	2005	8.216	8.36	28630
4	Gloomhaven	/boardgame/174430/gloomhaven	2017	8.169	9.00	4756
5	Star Wars: Rebellion	/boardgame/187645/star-wars-rebellion	2016	8.160	8.51	10217
6	Terra Mystica	/boardgame/120677/terra-mystica	2012	8.145	8.29	25896
7	Terraforming Mars	/boardgame/167791/terraforming-mars	2016	8.144	8.38	15180
8	Scythe	/boardgame/169786/scythe	2016	8.089	8.30	20319
9	7 Wonders Duel	/boardgame/173346/7-wonders-duel	2015	8.017	8.17	24598
10	The Castles of Burgundy	/boardgame/84876/castles-burgundy	2011	7.997	8.11	27151
11	Caverna: The Cave Farmers	/boardgame/102794/caverna-cave-farmers	2013	7.989	8.16	18383
12	Puerto Rico	/boardgame/3076/puerto-rico	2002	7.971	8.08	49670
13	War of the Ring (Second Edition)	/boardgame/115746/war-ring-second-edition	2012	7.969	8.39	6953
14	Great Western Trail	/boardgame/193738/great-western-trail	2016	7.965	8.29	8481
15	Agricola	/boardgame/31260/agricola	2007	7.948	8.04	50205
16	Mage Knight Board Game	/boardgame/96848/mage-knight-board-game	2011	7.935	8.13	19428
17	Blood Rage	/boardgame/170216/blood-rage	2015	7.918	8.13	16335
18	Through the Ages: A Story of Civilization	/boardgame/25613/through-ages-story-civilization	2006	7.898	8.07	15693
19	Arkham Horror: The Card Game	/boardgame/205637/arkham-horror-card-game	2016	7.884	8.34	7646
20	Mansions of Madness: Second Edition	/boardgame/205059/mansions-madness-second-edition	2016	7.879	8.26	8493
21	Mechs vs. Minions	/boardgame/209010/mechs-vs-minions	2016	7.878	8.31	6713
22	Star Wars: Imperial Assault	/boardgame/164153/star-wars-imperial-assault	2014	7.877	8.17	12286
23	Power Grid	/boardgame/2651/power-grid	2004	7.849	7.93	43776
24	Eclipse	/boardgame/72125/eclipse	2011	7.843	8.00	21224
25	Orléans	/boardgame/164928/orleans	2014	7.837	8.09	10035
26	Food Chain Magnate	/boardgame/175914/food-chain-magnate	2015	7.832	8.26	5913
27	Robinson Crusoe: Adventures on the Cursed Island	/boardgame/121921/robinson-crusoe-adventures-cursed-island	2012	7.822	7.99	19938
28	Viticulture Essential Edition	/boardgame/183394/viticulture-essential-edition	2015	7.821	8.16	7424
29	Concordia	/boardgame/124361/concordia	2013	7.811	8.02	11762
30	Brass: Lancashire	/boardgame/28720/brass-lancashire	2007	7.803	8.01	11013
31	Le Havre	/boardgame/35677/le-havre	2008	7.796	7.92	19817
32	Android: Netrunner	/boardgame/124742/android-netrunner	2012	7.790	7.97	21267
33	Tzolk'in: The Mayan Calendar	/boardgame/126163/tzolk-mayan-calendar	2012	7.790	7.94	19126
34	A Feast for Odin	/boardgame/177736/feast-odin	2016	7.769	8.24	5496
35	T.I.M.E Stories	/boardgame/146508/time-stories	2015	7.765	8.00	12433
36	Codenames	/boardgame/178900/codenames	2015	7.760	7.86	34282
37	7 Wonders	/boardgame/68448/7-wonders	2010	7.736	7.82	55291
38	Keyflower	/boardgame/122515/keyflower	2012	7.734	7.92	12632
39	The Voyages of Marco Polo	/boardgame/171623/voyages-marco-polo	2015	7.731	7.98	10283
40	Caylus	/boardgame/18602/caylus	2005	7.710	7.85	22455
41	Twilight Imperium (Third Edition)	/boardgame/12493/twilight-imperium-third-edition	2005	7.702	7.92	15715
42	Eldritch Horror	/boardgame/146021/eldritch-horror	2013	7.695	7.93	17862
43	Race for the Galaxy	/boardgame/28143/race-galaxy	2007	7.682	7.77	35714
44	Lords of Waterdeep	/boardgame/110327/lords-waterdeep	2012	7.679	7.79	31150
45	Dominant Species	/boardgame/62219/dominant-species	2010	7.677	7.86	13453
46	Patchwork	/boardgame/163412/patchwork	2014	7.675	7.80	21873
47	Five Tribes	/boardgame/157354/five-tribes	2014	7.671	7.81	19257
48	Dead of Winter: A Crossroads Game	/boardgame/150376/dead-winter-crossroads-game	2014	7.670	7.82	25214
49	Roll for the Galaxy	/boardgame/132531/roll-galaxy	2014	7.666	7.83	16044
50	El Grande	/boardgame/93/el-grande	1995	7.664	7.80	19017
51	Dominion: Intrigue	/boardgame/40834/dominion-intrigue	2009	7.657	7.78	24016
52	Star Wars: X-Wing Miniatures Game	/boardgame/103885/star-wars-x-wing-miniatures-game	2012	7.647	7.86	17804
53	Fields of Arle	/boardgame/159675/fields-arle	2014	7.646	8.21	4015
54	Battlestar Galactica	/boardgame/37111/battlestar-galactica	2008	7.629	7.77	26362
55	Clank!: A Deck-Building Adventure	/boardgame/201808/clank-deck-building-adventure	2016	7.619	8.01	6778
56	Mombasa	/boardgame/172386/mombasa	2015	7.597	7.98	5783
57	Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases	/boardgame/2511/sherlock-holmes-consulting-detective-thames-murder	1981	7.594	7.84	9953
58	Dominion	/boardgame/36218/dominion	2008	7.593	7.69	58664
59	The 7th Continent	/boardgame/180263/7th-continent	2017	7.591	8.97	2166
60	Russian Railroads	/boardgame/144733/russian-railroads	2013	7.590	7.82	9674
61	Trajan	/boardgame/102680/trajan	2011	7.587	7.81	10364
62	Tigris & Euphrates	/boardgame/42/tigris-euphrates	1997	7.584	7.72	20846
63	Troyes	/boardgame/73439/troyes	2010	7.579	7.76	12026
64	Pandemic	/boardgame/30549/pandemic	2008	7.577	7.67	66811
65	Santorini	/boardgame/194655/santorini	2016	7.568	7.94	6638
66	Crokinole	/boardgame/521/crokinole	1876	7.560	7.80	8060
67	Descent: Journeys in the Dark (Second Edition)	/boardgame/104162/descent-journeys-dark-second-edition	2012	7.559	7.78	15620
68	Castles of Mad King Ludwig	/boardgame/155426/castles-mad-king-ludwig	2014	7.551	7.71	14615
69	Kemet	/boardgame/127023/kemet	2012	7.546	7.78	10111
70	The Gallerist	/boardgame/125153/gallerist	2015	7.544	8.04	4324
71	War of the Ring (first edition)	/boardgame/9609/war-ring-first-edition	2004	7.537	7.80	9033
72	Stone Age	/boardgame/34635/stone-age	2008	7.532	7.63	32096
73	The Resistance: Avalon	/boardgame/128882/resistance-avalon	2012	7.530	7.70	17349
74	Alchemists	/boardgame/161970/alchemists	2014	7.530	7.76	10923
75	Arcadia Quest	/boardgame/155068/arcadia-quest	2014	7.528	7.96	5686
76	A Game of Thrones: The Board Game (Second Edition)	/boardgame/103343/game-thrones-board-game-second-edition	2011	7.528	7.72	19173
77	Legendary Encounters: An Alien Deck Building Game	/boardgame/146652/legendary-encounters-alien-deck-building-game	2014	7.512	7.85	7106
78	Ora et Labora	/boardgame/70149/ora-et-labora	2011	7.505	7.77	7809
79	Forbidden Stars	/boardgame/175155/forbidden-stars	2015	7.497	8.04	4347
80	Star Realms	/boardgame/147020/star-realms	2014	7.496	7.64	20781
81	Nations	/boardgame/126042/nations	2013	7.489	7.74	8654
82	Suburbia	/boardgame/123260/suburbia	2012	7.489	7.63	15794
83	Commands & Colors: Ancients	/boardgame/14105/commands-colors-ancients	2006	7.481	7.79	6970
84	Railways of the World	/boardgame/17133/railways-world	2005	7.478	7.70	9620
85	Ticket to Ride: Europe	/boardgame/14996/ticket-ride-europe	2005	7.477	7.59	37907
